Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.3721835336016
FDW14,OUT017,1373.6794226314607
NCN55,OUT010,578.3641068008285
FDQ58,OUT017,2469.1854707016137
FDY38,OUT027,5999.100383612514
FDH56,OUT046,1933.4306826673273
FDL48,OUT018,736.54467119145
FDC48,OUT027,2093.111129069206
FDN33,OUT045,1498.3848301511139
FDA36,OUT017,3188.40238428012
FDT44,OUT017,1962.225723834068
FDQ56,OUT045,1371.6478733954586
NCC54,OUT019,574.9353707106908
FDU11,OUT049,2061.914710370209
DRL59,OUT013,822.0806073969766
FDM24,OUT049,2438.4484182988854
FDI57,OUT045,3099.2308756186035
DRC12,OUT018,2937.6186284949613
NCM42,OUT027,2946.5096634758274
FDA46,OUT010,504.42289811362724
FDA31,OUT013,2846.6507568811426
NCJ31,OUT035,3898.3454474617242
FDG52,OUT046,747.0201663965817
NCL19,OUT019,302.7082356313978
FDS10,OUT035,2903.641117616623
FDX22,OUT010,579.2588220295672
NCF19,OUT035,743.3242872327193
NCE06,OUT046,2629.002996411549
DRC27,OUT046,3999.336218961949
FDE21,OUT035,1933.2799704006286
NCR42,OUT019,128.57780097894886
FDX51,OUT018,3024.537559912981
NCR06,OUT018,651.2097945178857
FDU31,OUT027,6004.654557867155
FDU59,OUT017,2602.9333985471108
FDR03,OUT027,5956.3976963428795
FDS49,OUT027,2001.3038991626133
FDD48,OUT010,268.90572385563587
NCF18,OUT017,3054.775886510268
NCD43,OUT027,2838.428532865607
NCD54,OUT018,2086.0210351075675
FDY19,OUT010,272.96887815819673
NCY54,OUT017,2850.9099875819006
NCL19,OUT018,2436.0020919776184
FDP23,OUT010,572.7081785599019
FDC26,OUT013,1744.2068373355523
FDR14,OUT010,128.57780097894886
NCS41,OUT035,3148.4240146464836
FDF41,OUT035,3983.6239585920657
FDU34,OUT046,2073.6294200250722
DRH11,OUT046,884.3380988757016
FDM03,OUT013,1653.6763488377867
FDS31,OUT017,2969.673152722316
FDJ20,OUT017,2080.4434994944504
FDV44,OUT027,5110.389683732344
FDG02,OUT049,3224.14490840218
FDA09,OUT013,3022.860960338764
FDT04,OUT013,684.1025164074563
FDL58,OUT019,568.9069567648592
FDE52,OUT045,1389.98587629941
FDW12,OUT035,2452.4661042544003
FDL51,OUT017,3519.932647465757
NCY42,OUT027,3126.4571548740105
FDR07,OUT017,1549.111975561975
FDN40,OUT045,2439.7819491964297
FDB35,OUT027,2519.0589871572065
FDA22,OUT017,2593.348004226385
NCL06,OUT046,4103.693969740384
FDI35,OUT013,2976.4266127976457
NCW42,OUT045,3572.2890893584963
NCX06,OUT049,3030.940560371622
FDC37,OUT027,2888.369248079394
FDZ14,OUT018,2005.297476402612
